	PMID	PT	OT	MH	SI	TI	GR
524	32641163	Clinical Trial Protocol;Journal Article;Multicenter Study	O  NNLM;Azithromycin;COVID19;Hydroxychloroquine;Novel coronavirus;Respiratory failure;SARSCoV2	Azithromycin/*administration & dosage;*Betacoronavirus;COVID19;Coronavirus Infections/*drug therapy/mortality;DoubleBlind Method;Drug Therapy, Combination;Humans;Hydroxychloroquine/*administration & dosage;Intensive Care Units;Pandemics;Pneumonia, Viral/*drug therapy/mortality;Prospective Studies;*Randomized Controlled Trials as Topic;SARSCoV2;DA 2020/07/15 06:00	ClinicalTrials.gov/NCT04339816	Azithromycin added to hydroxychloroquine for patients admitted to intensive care due 	DI2040001A/Donatio Intensivistam Endowment Fund (CZ)/;COVID19GAMA2 via Charles University/Technologická Agentura České Republiky/
525	33371468	Journal Article;Review	O  NNLM;COVID19;SARSCoV2;drug repositioning;public health crisis;vaccine	Antimalarials/therapeutic use;Antiviral Agents/*therapeutic use;COVID19/*drug therapy/*prevention & control;COVID19 Vaccines/*therapeutic use;Chloroquine/therapeutic use;*Drug Repositioning;Humans;Hydroxychloroquine/therapeutic use;Nucleosides/analogs & derivatives/therapeutic use;Pandemics/prevention & control;Protease Inhibitors/therapeutic use;Public Health;SARSCoV2/drug effects/physiology;DA 2021/01/06 06:00		The Current Status of Drug Repositioning and Vaccine Developments for the COVID-19 	5120200513755/National Research Foundation of Korea (NRF)/
526	33165621	Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural		Adult;Aged;COVID19/*drug therapy;Female;Humans;Hydroxychloroquine/administration & dosage/*therapeutic use;Male;Middle Aged;Treatment Failure;DA 2020/12/15 06:00	ClinicalTrials.gov/NCT04332991	Effect of Hydroxychloroquine on Clinical Status at 14 Days in Hospitalized Patients 	U01 HL123010/HL/NHLBI NIH HHS/United States;U01 HL123018/HL/NHLBI NIH HHS/United States;U01 HL123023/HL/NHLBI NIH HHS/United States;UL1 TR001102/TR/NCATS NIH HHS/United States;UL1 TR002541/TR/NCATS NIH HHS/United States;U01 HL122989/HL/NHLBI NIH HHS/United States;U01 HL123008/HL/NHLBI NIH HHS/United States;U01 HL123027/HL/NHLBI NIH HHS/United States;U01 HL123033/HL/NHLBI NIH HHS/United States;U01 HL123022/HL/NHLBI NIH HHS/United States;K23 HL153584/HL/NHLBI NIH HHS/United States;U01 HL123009/HL/NHLBI NIH HHS/United States;U01 HL123031/HL/NHLBI NIH HHS/United States;U01 HL123020/HL/NHLBI NIH HHS/United States;U01 HL123004/HL/NHLBI NIH HHS/United States;UL1 TR002243/TR/NCATS NIH HHS/United States
527	32081774	Journal Article;Review	O  NNLM;Antiviral drug;BSAAs;Broadspectrum antiviral agents;Drug discovery and development;Virus	Animals;*Antiviral Agents/therapeutic use;*Drug Development;*Drug Discovery;Humans;Virus Diseases/drug therapy;DA 2020/07/25 06:00		Discovery and development of safe-in-man broad-spectrum antiviral agents.	
528	32303365	Journal Article	O  NNLM;*COVID19;*Ozone;*Ozono;*SARSCoV2;*Vitamin C;*Vitamina C	Antioxidants/therapeutic use;Ascorbic Acid/*therapeutic use;Betacoronavirus;COVID19;Coronavirus Infections/*drug therapy/epidemiology;Critical Illness;Humans;Pandemics;Pneumonia, Viral/*drug therapy/epidemiology;SARSCoV2;DA 2020/05/22 06:00		Two known therapies could be useful as adjuvant therapy in critical patients 	
529	33206053	Journal Article	O  NNLM;COVID19;SARSCoV2;drug;intervention;proposed therapy;protocol;randomized controlled trial;therapy;treatment	DA 2020/11/19 06:01		Efficacy and Safety of Inhaled Ciclesonide in Treating Patients With Asymptomatic or 	
530	32539627	Journal Article;Review	O  NNLM;*ARDS;*COVID19;*SARSCoV2;*cytokine storm;*immunomodulatory drugs;*pneumonia	Antibodies, Monoclonal, Humanized/*therapeutic use;*Betacoronavirus;COVID19;Coronavirus Infections/drug therapy/*immunology/metabolism;Cytokines/*immunology/metabolism;Endothelial Cells/metabolism;Humans;*Immunity, Innate;Lung/*metabolism;Pandemics;Pneumonia, Viral/drug therapy/*immunology/metabolism;SARSCoV2;DA 2020/07/01 06:00		Lung under attack by COVID-19-induced cytokine storm: pathogenic mechanisms and 	
531	32982349	Journal Article;Review	O  NNLM;ACE;ACE2;atypical ARDS;myocarditis;silent hypoxia;stroke	DA 2020/09/29 06:01		COVID's Razor: RAS Imbalance, the Common Denominator Across Disparate, Unexpected 	
532	33364957	Journal Article;Review	O  NNLM;COVID19;ER stress;SARSCoV2;antiviral;drug repurposing;repurposed drugs;sigma1 receptor;viral replication	DA 2020/12/29 06:01		Repurposing Sigma-1 Receptor Ligands for COVID-19 Therapy?	
533	33340603	Clinical Trial, Phase I;Journal Article		Adult;Aged;Aged, 80 and over;COVID19/blood/diagnostic imaging/*immunology/*radiotherapy;Female;Hospitalization;Humans;Immunomodulation/*radiation effects;Lung/diagnostic imaging/immunology/*radiation effects;Male;Middle Aged;*Radiation Dosage;Radiotherapy Dosage;Safety;Tomography, XRay Computed;Treatment Outcome;DA 2021/03/05 06:00		Immunomodulatory Low-Dose Whole-Lung Radiation for Patients with Coronavirus Disease 	TL1 TR002382/TR/NCATS NIH HHS/United States;UL1 TR002378/TR/NCATS NIH HHS/United States
534	32399655	Journal Article;Research Support, NonU.S. Gov't	O  NNLM;*Cell therapy;*Coronavirus;*Cytokine storm;*Hyperinflammation	Aged;Betacoronavirus;Biomarkers/blood;COVID19;*Cell and TissueBased Therapy;*Compassionate Use Trials;Coronavirus Infections/*therapy;Critical Illness/therapy;Female;Ferritins/blood;Humans;Infusions, Intravenous;Los Angeles;Lymphocyte Count;Male;Middle Aged;Myocardium/*cytology;Pandemics;Pneumonia, Viral/*therapy;SARSCoV2;Stem Cells/*cytology;Young Adult;DA 2020/05/15 06:00		Allogeneic cardiosphere-derived cells (CAP-1002) in critically ill COVID-19 	R01 HL137076/HL/NHLBI NIH HHS/United States;T32 HL116273/HL/NHLBI NIH HHS/United States
535	32472459	Journal Article;Review	O  NNLM;Algorithm;COVID19;Management;SarsCoV2	Algorithms;*Antiviral Agents/immunology/pharmacology;Betacoronavirus/isolation & purification;COVID19;COVID19 Testing;Clinical Laboratory Techniques/*methods;*Coronavirus Infections/diagnosis/drug therapy/epidemiology/immunology/therapy;Critical Pathways;*Cytokine Release Syndrome/diagnosis/drug therapy/etiology;Humans;*Pandemics;Patient Care Team/*organization & administration;*Pneumonia, Viral/epidemiology/immunology/therapy;SARSCoV2;DA 2020/06/25 06:00		Treatment algorithm for COVID-19: a multidisciplinary point of view.	
536	32863636	Journal Article	O  NNLM;Acute respiratory distress syndrome;COVID19;Coronavirus;Cytokine storm;Immunosuppressants	DA 2020/08/31 06:01		Cytokine Storm in Novel Coronavirus Disease (COVID-19): Expert Management 	
537	32615569	Journal Article;Review	O  NNLM;Antibiotic resistance;Blood purification;Extracorporeal therapy	Anticoagulants/*chemistry;Bacteria/isolation & purification;Bacterial Infections/blood/*therapy;Binding Sites;COVID19/blood/*therapy;Hemoperfusion/*methods;Heparin/*chemistry;Humans;SARSCoV2/*isolation & purification;DA 2021/02/09 06:00		Heparin 2.0: A New Approach to the Infection Crisis.	
538	33191206	Journal Article;Review		Adenosine Monophosphate/analogs & derivatives/chemistry/pharmacology/therapeutic use;Alanine/analogs & derivatives/chemistry/pharmacology/therapeutic use;AntiInflammatory Agents/chemistry/pharmacology/*therapeutic use;Antioxidants/chemistry/pharmacology/*therapeutic use;Antiviral Agents/chemistry/pharmacology/*therapeutic use;COVID19/*drug therapy;Drug Repositioning/*methods/trends;Humans;SARSCoV2/*drug effects;Treatment Outcome;Virus Internalization/drug effects;DA 2021/01/14 06:00		Repurposing existing drugs for the treatment of COVID-19/SARS-CoV-2 infection: A 	
539	32987852	Journal Article;Review	O  NNLM;COVID19;SARSCoV2;immune response;inflammation	DA 2020/09/30 06:01		SARS-CoV-2: From Structure to Pathology, Host Immune Response and Therapeutic 	13SOL/Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, 
540	32323577	Editorial	O  NNLM;COVID19;chemotherapy;coronavirus;immune checkpoint inhibitors;oncologist;oncology;review	Antineoplastic Agents/therapeutic use;Antiviral Agents/therapeutic use;COVID19;Clinical DecisionMaking;Coronavirus Infections/diagnosis/drug therapy/*epidemiology/transmission;Disease Progression;Humans;Medical Oncology/*trends;Neoplasms/drug therapy/*epidemiology;Oncologists;Pandemics;Pneumonia, Viral/diagnosis/drug therapy/*epidemiology/transmission;Vulnerable Populations;DA 2020/06/18 06:00		What the oncologist needs to know about COVID-19 infection in cancer patients.	
541	32353634	Journal Article;Review		AngiotensinConverting Enzyme 2;Antiviral Agents/*therapeutic use;Azithromycin/therapeutic use;Betacoronavirus/drug effects/immunology/*pathogenicity;COVID19;Coronavirus Infections/*drug therapy/epidemiology/immunology/virology;Cytokines/genetics/immunology;Disease Management;Gene Expression Regulation;Humans;Hydroxychloroquine/therapeutic use;Immune Evasion/genetics/immunology;Immunologic Factors/*therapeutic use;*Pandemics;PeptidylDipeptidase A/*genetics/immunology;Pneumonia, Viral/*drug therapy/epidemiology/immunology/virology;SARSCoV2;Spike Glycoprotein, Coronavirus/*genetics/immunology;TollLike Receptors/genetics/immunology;Tumor Necrosis Factor ReceptorAssociated Peptides and Proteins/genetics/immunology;DA 2020/06/24 06:00		COVID-19: Immunology and treatment options.	
542	33260370	Journal Article	O  NNLM;COVID19;FDAapproved drugs;SARSCoV2;docking studies;spike glycoprotein	Antiviral Agents/chemistry/*pharmacology;Computer Simulation;Drug Repositioning/*methods;Ligands;Membrane Fusion/drug effects;Models, Molecular;Molecular Docking Simulation;Protein Conformation;Spike Glycoprotein, Coronavirus/*chemistry/metabolism;Varenicline/chemistry/metabolism/pharmacology;DA 2020/12/19 06:00		Repositioning of Ligands That Target the Spike Glycoprotein as Potential Drugs for 	PAACTI 312807/CONACYT/
543	33197879	Clinical Trial;Journal Article	O  NNLM;*COVID19;*SARSCoV2;*antihypertensives;*hydroxymethylglutarylcoenzyme A reductase inhibitors;*online survey;*statins;*surveillance	Aged;Antihypertensive Agents/*adverse effects/therapeutic use;COVID19/diagnosis/*drug therapy/transmission/virology;CrossSectional Studies;Epidemiological Monitoring;Female;Germany/epidemiology;Humans;HydroxymethylglutarylCoA Reductase Inhibitors/*adverse effects/therapeutic use;Male;Middle Aged;Mobile Applications/supply & distribution;Prospective Studies;SARSCoV2/*drug effects/genetics;Self Report;Surveys and Questionnaires;DA 2021/01/12 06:00	DRKS/DRKS00022185	Associations of Medications With Lower Odds of Typical COVID-19 Symptoms: 	
544	32572842	Journal Article		Attitude to Health;Betacoronavirus;COVID19;*Coronavirus Infections/classification/drug therapy/epidemiology/psychology;Drug Utilization/*trends;Humans;*Information Dissemination/ethics/methods;Medication Therapy Management/ethics/standards;*Pandemics;Pharmacovigilance;*Pneumonia, Viral/drug therapy/epidemiology/psychology;*Public Health/methods/standards;SARSCoV2;Social Media/ethics/standards;Social Medicine/ethics/standards;DA 2020/08/12 06:00		"The Impact of the COVID-19 ""Infodemic"" on Drug-Utilization Behaviors: Implications "	
545	33020111	Journal Article;Observational Study;Research Support, NonU.S. Gov't	O  NNLM;*COVID19;*clinical trials;*infectious diseases	Betacoronavirus/isolation & purification;*Biomedical Research/organization & administration/statistics & numerical data;COVID19;*Coronavirus Infections/epidemiology/therapy;Eligibility Determination;Female;Health Services Accessibility/statistics & numerical data;Hospitalization/statistics & numerical data;Humans;Male;Middle Aged;*Pandemics;*Patient Selection;*Pneumonia, Viral/epidemiology/therapy;Prospective Studies;*Randomized Controlled Trials as Topic/methods/statistics & numerical data;Registries/statistics & numerical data;SARSCoV2;United Kingdom;DA 2020/10/21 06:00		How achievable are COVID-19 clinical trial recruitment targets? A UK observational 	MC_UU_00002/15/MRC_/Medical Research Council/United Kingdom;MR/P008801/1/MRC_/Medical Research Council/United Kingdom
546	33040075	Comment;Journal Article;Research Support, NonU.S. Gov't		Azides;Betacoronavirus;COVID19;*Coronavirus Infections/drug therapy;Deoxycytidine/analogs & derivatives;Humans;*Pandemics;Pilot Projects;*Pneumonia, Viral;SARSCoV2;Tablets;DA 2020/10/21 06:00		Azvudine (FNC): a promising clinical candidate for COVID-19 treatment.	U1804283/National Natural Science Foundation of China (National Science Foundation 
547	32402186	Journal Article;Review	O  NNLM;*3CLpro;*COVID19;*SARSCoV;*SARSCoV2;*broadspectrum antiviral agents;*coronavirus;*dimerization;*homodimer;*main protease (Mpro);*mutation	Antiviral Agents/pharmacology;Betacoronavirus/chemistry/drug effects/*enzymology/genetics;COVID19;Coronavirus 3C Proteases;Coronavirus Infections/*drug therapy/virology;Cysteine Endopeptidases/chemistry/genetics/*metabolism;Drug Discovery;Humans;Models, Molecular;Molecular Targeted Therapy;Mutation/drug effects;Pandemics;Peptides/pharmacology;Pneumonia, Viral/*drug therapy/virology;Protease Inhibitors/*pharmacology;Protein Conformation/drug effects;Protein Multimerization/*drug effects;SARSCoV2;Viral Nonstructural Proteins/antagonists & inhibitors/chemistry/genetics/*metabolism;DA 2020/06/17 06:00		Targeting the Dimerization of the Main Protease of Coronaviruses: A Potential 	
548	32284951	Journal Article;Review	O  NNLM;COVID19;SARSCoV2;hydroxychloroquine;lopinavir/ritonavir;remdesivir	DA 2020/04/15 06:01		Coronavirus Disease 2019 Treatment: A Review of Early and Emerging Options.	
549	32814759	Journal Article;Research Support, NonU.S. Gov't		Animals;Antiviral Agents/pharmacology;Betacoronavirus/*physiology;COVID19;Cell Death/drug effects;Chlorocebus aethiops;Coronavirus Infections/*metabolism/virology;Drug Evaluation, Preclinical/*methods;Hydroxychloroquine/pharmacology;Imatinib Mesylate/pharmacology;Lysosomes/drug effects;Pandemics;Pneumonia, Viral/*metabolism/virology;Protein Kinase Inhibitors/pharmacology;RNA, Viral/drug effects;SARSCoV2;Vero Cells;Viral Load/drug effects;Virus Replication/*drug effects;DA 2020/09/02 06:00		On-target versus off-target effects of drugs inhibiting the replication of 	
550	32620597	Journal Article;Observational Study	O  NNLM;*antiinflammatory agents, nonsteroidal;*inflammation;*therapeutics	Administration, Intravenous;AntiBacterial Agents/therapeutic use;Antibodies, Monoclonal, Humanized/*therapeutic use;Antiviral Agents/therapeutic use;Azithromycin/therapeutic use;Bacteremia/epidemiology;Betacoronavirus;CReactive Protein/*immunology;COVID19;Cohort Studies;Coinfection/epidemiology;Coronavirus Infections/diagnostic imaging/*drug therapy/immunology/mortality;Drug Combinations;Enzyme Inhibitors/therapeutic use;Female;Humans;Hydroxychloroquine/therapeutic use;Inflammation/*immunology;Interleukin6/*immunology;Italy;Lopinavir/therapeutic use;Lung/diagnostic imaging;Male;Middle Aged;Noninvasive Ventilation;Oxygen Inhalation Therapy;Pandemics;Pneumonia, Viral/diagnostic imaging/*drug therapy/immunology/mortality;Proportional Hazards Models;Receptors, Interleukin6/antagonists & inhibitors;Ritonavir/therapeutic use;SARSCoV2;Severity of Illness Index;Time Factors;Tomography, XRay Computed;Treatment Outcome;DA 2020/09/25 06:00		Interleukin-6 blockade with sarilumab in severe COVID-19 pneumonia with systemic 	
551	32376399	Journal Article;Review	O  NNLM;*COVID19;*DMARDs;*Flowchart;*Infection;*Inflammatory bowel disease;*Prevention;*Rheumatic disease;*Small molecules;*Treatment;*bDMARDs	Antirheumatic Agents/therapeutic use;Autoimmune Diseases/complications/*drug therapy;Betacoronavirus;COVID19;Coronavirus Infections/*complications;Humans;Immunosuppressive Agents/*therapeutic use;Inflammatory Bowel Diseases/complications/*drug therapy;Pandemics;Pneumonia, Viral/*complications;Rheumatic Diseases/*drug therapy;Risk Factors;SARSCoV2;DA 2020/06/11 06:00		How to handle patients with autoimmune rheumatic and inflammatory bowel diseases in 	
552	32717568	Journal Article;Review	O  NNLM;*Chloroquine;*Coronavirus;*Lopinavir;*Remdesivir;*Ribavirin;*Ritonavir;*SARSCoV2	Animals;AntiBacterial Agents/administration & dosage/metabolism;Antibodies, Monoclonal, Humanized/administration & dosage/metabolism;Antimalarials/administration & dosage/metabolism;Antiviral Agents/*administration & dosage/metabolism;COVID19/*drug therapy/metabolism;Clinical Trials as Topic/methods;Cytochrome P450 CYP3A Inhibitors/administration & dosage/metabolism;Drug Approval/*methods;Drug Therapy, Combination;Humans;Hydroxychloroquine/administration & dosage/metabolism;SARSCoV2/*drug effects/metabolism;United States/epidemiology;DA 2020/12/29 06:00		FDA approved drugs with pharmacotherapeutic potential for SARS-CoV-2 (COVID-19) 	
553	32850989	Journal Article;Review	O  NNLM;COVID19;RAS inhibitors;SARSCOV2;heart damage;pulmonary damage;reninangiotensin system	DA 2020/08/28 06:01		Renin-Angiotensin System and Coronavirus Disease 2019: A Narrative Review.	
554	32685221	Case Reports		DA 2020/07/21 06:01		Acute Kidney Injury in a Case Series of Patients with Confirmed COVID-19 	
555	33324210	Journal Article	O  NNLM;COVID19;coronavirus;cytokine storm;fibrosis;macrophage	DA 2020/12/17 06:01		Targeting Macrophages as a Therapeutic Option in Coronavirus Disease 2019.	
556	32946870	Journal Article;Review	O  NNLM;COVID19;Methylxanthines;Pentoxifylline and caffeine	AntiInflammatory Agents, NonSteroidal/pharmacology/therapeutic use;COVID19;Caffeine/pharmacology/therapeutic use;Coronavirus Infections/complications/*drug therapy;Humans;Infant, Newborn;Infant, Premature;Inflammation/drug therapy/etiology;*Pandemics;Pentoxifylline/pharmacology/*therapeutic use;Pneumonia, Viral/complications/*drug therapy;Xanthines/*pharmacology/*therapeutic use;DA 2020/11/06 06:00		Can pentoxifylline and similar xanthine derivatives find a niche in COVID-19 	
557	33497876	Journal Article	O  NNLM;Acute respiratory distress syndrome;Coronavirus;Mortality;SARSCoV2;Viral pneumonia	Adult;Aged;Aged, 80 and over;COVID19/*epidemiology/physiopathology;Comorbidity;Female;Humans;Italy/epidemiology;Male;Middle Aged;Pandemics;Retrospective Studies;Young Adult;DA 2021/03/03 06:00		Severe COVID-19 pneumonia in Piacenza, Italy - A cohort study of the first pandemic 	
558	33391502	Journal Article;Research Support, N.I.H., Extramural;Research Support, NonU.S. Gov't;Review	O  NNLM;*COVID19;*SARSCoV2;*cancer;*comorbidity;*coronaviruses;*inflammation	Antineoplastic Agents/pharmacology/*therapeutic use;COVID19/*drug therapy/epidemiology/immunology/virology;Comorbidity;Drug Repositioning;Genome, Viral/genetics;Humans;Neoplasms/*drug therapy/epidemiology;Pandemics/prevention & control;SARSCoV2/*genetics/immunology;Signal Transduction/drug effects/genetics/immunology;DA 2021/01/13 06:00		COVID-19 and Cancer Comorbidity: Therapeutic Opportunities and Challenges.	K22 CA197074/CA/NCI NIH HHS/United States;P30 CA036727/CA/NCI NIH HHS/United States;1K22CA197074/CA/NCI NIH HHS/United States
559	33411222	Congress		DA 2021/01/08 06:01		Irish Thoracic Society Annual Scientific Meeting 2020.	
560	33398233	Journal Article;Review		DA 2021/01/06 06:01		Novel coronavirus disease (COVID-19) pandemic: A recent mini review.	
561	32788120	Journal Article	O  NNLM;*COVID19;*Continuous renal replacement therapy;*Mortality;*Thromboprophylaxis;*Venous thromboembolism	Aged;Anticoagulants/*administration & dosage;Biomarkers/blood;COVID19/complications/diagnostic imaging/*drug therapy/mortality;*Clinical Protocols;Critical Illness;Databases, Factual;Drug Monitoring;Factor Xa/analysis;Female;Heparin, LowMolecularWeight/*administration & dosage;Humans;*Intensive Care Units;Longitudinal Studies;Male;Middle Aged;Retrospective Studies;Risk Factors;Treatment Outcome;Venous Thromboembolism/diagnosis/etiology/mortality/*prevention & control;DA 2020/12/15 06:00	ClinicalTrials.gov/NCT04394000	Impact of implementation of an individualised thromboprophylaxis protocol in 	
562	32268381	Journal Article		Betacoronavirus/isolation & purification;COVID19;*Coronavirus Infections/diagnosis/epidemiology/prevention & control;Female;Humans;Infant, Newborn;*Infection Control/methods/organization & administration;Infectious Disease Transmission, Vertical/prevention & control;Intensive Care, Neonatal/methods/organization & administration;*Pandemics/prevention & control;*Pneumonia, Viral/diagnosis/epidemiology/prevention & control;Pregnancy;*Pregnancy Complications, Infectious/epidemiology/prevention & control/virology;*Resuscitation/methods/trends;Risk Management/*methods;SARSCoV2;DA 2020/07/08 06:00		Neonatal Resuscitation and Postresuscitation Care of Infants Born to Mothers with 	
563	32711111	Journal Article;Review	O  NNLM;*ACE2;*Ang (17);*Covid19;*Immunomodulators;*Remdesivir;*SARSCoV2	AngiotensinConverting Enzyme 2;Antiviral Agents/*therapeutic use;Betacoronavirus/chemistry/*metabolism;COVID19;Coronavirus Infections/*drug therapy/prevention & control/virology;Drug Repositioning/*methods;Humans;Life Cycle Stages/*drug effects;Molecular Targeted Therapy/*methods;Pandemics/prevention & control;PeptidylDipeptidase A/metabolism;Pneumonia, Viral/*drug therapy/prevention & control/virology;ReninAngiotensin System/drug effects;SARSCoV2;Spike Glycoprotein, Coronavirus/immunology/metabolism;Viral Vaccines/immunology;Virus Internalization/drug effects;Virus Replication/drug effects;DA 2020/09/10 06:00		Drugs targeting various stages of the SARS-CoV-2 life cycle: Exploring promising 	
564	32903199	Journal Article	O  NNLM;COVID19;SARSCoV2;antibodies;convalescent plasma;coronaviruses;efficacy;feasibility;immunology;infectious disease;safety;treatment	DA 2020/09/10 06:01	ClinicalTrials.gov/NCT04347681	Safety and Efficacy of Convalescent Plasma to Treat Severe COVID-19: Protocol for 	
565	32375142	Editorial		Adrenal Cortex Hormones/adverse effects;Bone Marrow Transplantation;COVID19/*complications/drug therapy/epidemiology;China/epidemiology;Cohort Studies;EvidenceBased Medicine;Hematologic Neoplasms/*complications/therapy;Hematology;Humans;Immunotherapy, Adoptive;Pandemics;Risk Factors;*SARSCoV2;DA 2021/04/02 06:00		Perspective: SARS-CoV-2, COVID-19 and Haematologists.	
566	33354381	Case Reports	O  NNLM;COVID19;SARSCoV2;chemotherapy;immunodeficiency;rituximab	DA 2020/12/24 06:01		Clinical Observation of COVID-19 in a Patient With an Acquired Humoral Deficiency 	
567	32758635	Journal Article;Research Support, NonU.S. Gov't;Review	O  NNLM;*COVID19;*Pharmacology;*SARSCoV2;*Viral clearance kinetics	Antiviral Agents/pharmacology/*therapeutic use;COVID19/*drug therapy/*virology;Humans;*SARSCoV2;Viral Load;DA 2021/01/01 06:00		COVID-19: Pharmacology and kinetics of viral clearance.	
568	32592163	Journal Article;Review	O  NNLM;*COVID19;*Coronavirus;*Immunomodulation;*MSC priming;*Mesenchymal stem cells;*SARSCoV2	COVID19/immunology/*therapy/virology;Humans;Immunomodulation/*immunology;*Mesenchymal Stem Cell Transplantation;Mesenchymal Stem Cells/immunology;*Pandemics;SARSCoV2/pathogenicity;DA 2021/03/03 06:00		'Primed' Mesenchymal Stem Cells: a Potential Novel Therapeutic for COVID19 Patients.	
569	32778962	Journal Article;Review	O  NNLM;COVID19;Coronavirus;MERSCoV;SARSCoV;SARSCoV2;antiviral therapy;kinase inhibitors;pharmacokinetics	Animals;Antiviral Agents/*therapeutic use;COVID19;Coronavirus Infections/*drug therapy;*Drug Repositioning;Humans;Pandemics;Pneumonia, Viral/*drug therapy;Protein Kinase Inhibitors/*therapeutic use;DA 2020/08/14 06:00		Repurposing of Kinase Inhibitors for Treatment of COVID-19.	Project Program Grant, NIH PO1CA66996/NH/NIH HHS/United States
570	32768971	Journal Article;Review	O  NNLM;Anakinra;Convalescent plasma;Corticosteroids;Hydroxychloroquine;SARSCoV2;Vaccine	Animals;Antiviral Agents/*pharmacology;Betacoronavirus/drug effects/isolation & purification;COVID19;Coronavirus Infections/*drug therapy/epidemiology/virology;Drug Design;Humans;Pandemics;Pneumonia, Viral/*drug therapy/epidemiology/virology;Public Health;SARSCoV2;Viral Vaccines/administration & dosage;DA 2020/09/08 06:00		Natural history of COVID-19 and current knowledge on treatment therapeutic options.	
571	32519200	Case Reports;Letter		Adult;COVID19;Coronavirus Infections/*complications/therapy;Critical Care;Female;Genetic Predisposition to Disease;Hormone Replacement Therapy;Humans;Italy;Pandemics;Pneumonia/*complications/therapy;Pneumonia, Viral/*complications/therapy;Polyendocrinopathies, Autoimmune/*complications/drug therapy/genetics;Respiration, Artificial;DA 2020/07/24 06:00		A COVID-19 pneumonia case report of autoimmune polyendocrine syndrome type 1 in 	
572	32903349	Journal Article;Review	O  NNLM;COVID19;SARSCoV2;antivirals;coronaviruses;treatment	DA 2020/09/10 06:01		Antivirals Against Coronaviruses: Candidate Drugs for SARS-CoV-2 Treatment?	
573	33052920	Journal Article;Observational Study		Aftercare/statistics & numerical data;Aged;COVID19;Cognitive Dysfunction/*epidemiology;Coronavirus Infections/complications/*epidemiology/rehabilitation;Dyspnea/*epidemiology;Female;FollowUp Studies;Humans;Male;Malnutrition/*epidemiology;Middle Aged;Pandemics;Pneumonia, Viral/complications/*epidemiology/rehabilitation;Stress Disorders, PostTraumatic/*epidemiology;DA 2020/10/31 06:00		Residual clinical damage after COVID-19: A retrospective and prospective 	
574	32492293	Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, NonU.S. Gov't		Adult;Betacoronavirus;COVID19;Canada;Coronavirus Infections/*prevention & control;DoubleBlind Method;Female;Humans;Hydroxychloroquine/adverse effects/*therapeutic use;Inhalation Exposure;Male;Middle Aged;Occupational Exposure;Pandemics/*prevention & control;Pneumonia, Viral/*prevention & control;*PostExposure Prophylaxis;SARSCoV2;Treatment Failure;United States;DA 2020/08/13 06:00	ClinicalTrials.gov/NCT04308668	A Randomized Trial of Hydroxychloroquine as Postexposure Prophylaxis for Covid-19.	R01 NS110519/NS/NINDS NIH HHS/United States;R01 NS086312/NS/NINDS NIH HHS/United States;UL1 TR002494/TR/NCATS NIH HHS/United States;K23 AI138851/AI/NIAID NIH HHS/United States;U01 AI125003/AI/NIAID NIH HHS/United States;T32 GM007347/GM/NIGMS NIH HHS/United States;T32 AI055433/AI/NIAID NIH HHS/United States;D43 TW009345/TW/FIC NIH HHS/United States;K23 MH121220/MH/NIMH NIH HHS/United States;K08 AI134262/AI/NIAID NIH HHS/United States
575	32907357	Clinical Trial, Phase II;Journal Article;Research Support, N.I.H., Extramural;Research Support, NonU.S. Gov't	O  NNLM;*COVID19;*heart block;*hydroxychloroquine;*incidence;*pregnancy	Antiviral Agents/*administration & dosage/adverse effects/blood;Cardiotoxicity;Drug Administration Schedule;Drug Monitoring;*Electrocardiography;Female;Fetal Blood/metabolism;Fetal Heart/*drug effects/physiopathology;Gestational Age;Heart Block/*congenital/diagnosis/physiopathology/prevention & control;Heart Rate/*drug effects;Humans;Hydroxychloroquine/*administration & dosage/adverse effects/blood;Infant;Infant, Newborn;Male;Predictive Value of Tests;Pregnancy;Risk Assessment;Risk Factors;Time Factors;Treatment Outcome;DA 2020/10/29 06:00	ClinicalTrials.gov/NCT01379573	Electrocardiographic QT Intervals in Infants Exposed to Hydroxychloroquine 	R01 HD079951/HD/NICHD NIH HHS/United States;R03 HD069986/HD/NICHD NIH HHS/United States
576	33093945	Journal Article;Review	O  NNLM;*ACE2;*Hypokalaemia;*SARSCoV2;*alkalosis;*transtubular potassium gradient	Aldosterone;Betacoronavirus;COVID19;Coronavirus Infections/*complications;Electrolytes;Humans;Hypokalemia/*virology;Pandemics;Pneumonia, Viral/*complications;Potassium;ReninAngiotensin System;SARSCoV2;DA 2020/10/29 06:00		Electrolyte Disturbances in SARS-CoV-2 Infection.	
